選手名,球 団,打 率,打 点,本 塁 打,安 打 数,単 打,2 塁 打,3 塁 打,出 塁 率,長 打 率,O P S,試 合 数,打 席 数,打 数,得 点,四 球,死 球,企 盗 塁,盗 塁,犠 飛,併 殺,失 策,三 振
1:吉川 尚輝,巨,.287,46,5,154,120,25,4,.341,.377,.718,143,602.0,536,65,43,6,17,12,6,8,5,61
2:岡本 和真,巨,.280,83,27,150,86,37,0,.362,.501,.863,143,611.0,535,70,76,5,2,1,5,5,6,97
3:丸 佳浩,巨,.278,45,14,146,113,18,1,.360,.396,.756,138,595.0,525,51,70,3,12,8,2,9,0,93
6:ヘルナンデス,巨,.294,30,8,65,46,11,0,.346,.452,.798,56,240.0,221,34,16,3,1,0,1,8,0,58
7:モンテス,巨,.272,14,1,41,25,15,0,.308,.391,.699,46,159.0,151,14,9,1,1,1,0,3,0,21
8:オコエ 瑠偉,巨,.261,13,3,36,24,9,0,.309,.391,.700,68,157.0,138,16,9,1,4,4,1,3,1,35
10:長野 久義,巨,.258,14,0,23,19,3,1,.327,.315,.641,54,98.0,89,5,10,0,2,1,0,2,0,25
11:大城 卓三,巨,.254,27,3,72,52,17,0,.330,.346,.677,96,321.0,283,19,33,3,0,0,4,3,2,62
12:門脇 誠,巨,.243,21,0,85,75,9,1,.319,.274,.593,129,405.0,350,29,44,2,12,9,0,3,16,63
13:岸田 行倫,巨,.242,26,4,65,50,10,1,.287,.331,.618,88,298.0,269,22,14,4,4,2,2,11,3,43
14:浅野 翔吾,巨,.240,18,3,35,19,11,2,.282,.404,.686,40,158.0,146,18,8,2,1,1,1,2,3,27
15:坂本 勇人,巨,.238,34,7,94,73,14,0,.286,.327,.613,109,426.0,395,34,28,1,1,1,3,14,6,72
16:佐々木 俊輔,巨,.231,6,0,33,27,5,1,.275,.280,.554,59,156.0,143,13,9,0,3,2,1,3,0,44
17:萩尾 匡也,巨,.215,12,2,32,20,8,2,.272,.336,.607,56,163.0,149,13,12,1,2,0,1,4,1,41
18:立岡 宗一郎,巨,.214,8,0,18,18,0,0,.305,.214,.520,48,99.0,84,12,12,0,5,3,0,0,0,19
20:泉口 友汰,巨,.201,9,1,33,25,6,1,.280,.268,.549,66,185.0,164,10,19,0,1,1,0,2,3,24
25:小林 誠司,巨,.152,8,1,16,12,3,0,.233,.210,.442,42,123.0,105,4,11,2,1,1,0,1,1,18
35:山﨑 伊織,巨,.136,4,0,6,4,2,0,.156,.182,.337,24,53.0,44,1,1,0,0,0,0,0,1,19
38:菅野 智之,巨,.089,0,0,4,4,0,0,.128,.089,.217,24,53.0,45,1,2,0,0,0,0,1,1,26
39:戸郷 翔征,巨,.051,2,0,2,2,0,0,.075,.051,.126,26,56.0,39,1,1,0,0,0,0,1,1,21
1:サンタナ,ヤ,.315,70,17,132,86,29,0,.399,.506,.905,122,484.0,419,57,58,4,3,2,4,8,4,101
2:長岡 秀樹,ヤ,.288,58,6,163,131,25,1,.324,.367,.692,143,611.0,566,63,31,3,5,4,3,6,9,70
3:オスナ,ヤ,.267,72,17,144,99,28,0,.320,.414,.733,141,585.0,539,54,43,3,3,0,3,24,11,91
4:村上 宗隆,ヤ,.242,86,33,121,74,13,1,.377,.470,.847,143,610.0,500,82,114,4,15,10,1,6,15,180
6:松本 直樹,ヤ,.269,11,1,36,28,7,0,.288,.343,.631,60,142.0,134,5,4,0,1,1,1,3,1,18
7:塩見 泰隆,ヤ,.267,8,3,27,21,3,0,.336,.386,.722,31,113.0,101,15,12,2,3,3,1,1,0,16
8:西川 遥輝,ヤ,.260,24,1,80,64,13,2,.350,.325,.675,113,363.0,308,43,41,6,12,10,6,3,3,51
9:宮本 丈,ヤ,.259,6,0,38,35,3,0,.313,.279,.591,60,164.0,147,12,11,1,1,1,1,3,0,25
10:赤羽 由紘,ヤ,.241,6,2,14,10,2,0,.262,.379,.642,36,65.0,58,4,1,1,4,4,1,0,0,16
11:丸山 和郁,ヤ,.241,12,0,61,53,7,1,.312,.277,.589,96,296.0,253,30,25,2,6,4,0,2,3,49
12:中村 悠平,ヤ,.237,23,0,69,60,9,0,.315,.268,.583,96,353.0,291,16,35,4,0,0,2,7,2,54
