選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
吉川 尚輝,巨,0.28588963,7,38,0.3403413,0.37625277,0.7139907
岡本 和真,巨,0.27818817,25,85,0.36302245,0.5002502,0.8680057
丸 佳浩,巨,0.27779788,12,55,0.35594302,0.41674423,0.7750532
ヘルナンデス,巨,0.27740303,8,35,0.35293296,0.45007178,0.7932087
モンテス,巨,0.26868674,2,13,0.3156357,0.38120845,0.6905432
オコエ 瑠偉,巨,0.26062807,3,18,0.31408247,0.37041634,0.6866656
長野 久義,巨,0.2544242,0,9,0.33118388,0.30432913,0.6383572
大城 卓三,巨,0.2537027,4,24,0.33220705,0.3401643,0.67401725
門脇 誠,巨,0.2428292,2,26,0.31392837,0.29978445,0.6078302
岸田 行倫,巨,0.23945801,4,22,0.2867584,0.32695252,0.6200201
浅野 翔吾,巨,0.24122667,4,14,0.2908138,0.36494848,0.6673195
坂本 勇人,巨,0.23566554,7,40,0.28849623,0.33865392,0.62810993
佐々木 俊輔,巨,0.23086798,0,10,0.2759449,0.27538,0.5528091
萩尾 匡也,巨,0.21808541,2,15,0.27415302,0.3216314,0.60046613
立岡 宗一郎,巨,0.20759979,0,7,0.2966801,0.23448028,0.5336171
泉口 友汰,巨,0.20873904,1,9,0.280569,0.2634981,0.54254067
小林 誠司,巨,0.15730526,1,6,0.22817571,0.21290892,0.44563532
山﨑 伊織,巨,0.13214973,0,2,0.15948607,0.14889927,0.3128736
菅野 智之,巨,0.07910988,0,1,0.09647249,0.081308715,0.18968996
戸郷 翔征,巨,0.047940396,0,2,0.06854355,0.050991863,0.116407506
サンタナ,ヤ,0.31740963,15,64,0.39942434,0.5051656,0.90618956
長岡 秀樹,ヤ,0.28253266,5,34,0.32212618,0.37359923,0.6956927
オスナ,ヤ,0.26630598,15,63,0.3225046,0.41227174,0.7416137
村上 宗隆,ヤ,0.25263909,29,85,0.37001342,0.47447535,0.8377248
松本 直樹,ヤ,0.26178327,2,11,0.29773596,0.3430194,0.62878925
塩見 泰隆,ヤ,0.26843655,3,12,0.33554542,0.3936574,0.72486705
西川 遥輝,ヤ,0.26325515,1,22,0.35019258,0.31878844,0.6693279
宮本 丈,ヤ,0.25165373,0,12,0.30949405,0.2914872,0.603941
赤羽 由紘,ヤ,0.23209019,2,5,0.27405974,0.36984503,0.6478771
丸山 和郁,ヤ,0.2385368,0,19,0.3077509,0.28895453,0.6003166
中村 悠平,ヤ,0.23300834,1,24,0.307569,0.2840962,0.59609866
青木 宣親,ヤ,0.22939004,0,4,0.28550738,0.27146927,0.55508304
岩田 幸宏,ヤ,0.22654487,1,6,0.27322435,0.27315214,0.54761404
山田 哲人,ヤ,0.22687349,13,43,0.30407566,0.40176284,0.7060538
川端 慎吾,ヤ,0.21276063,0,4,0.2559869,0.25885117,0.5174531
増田 珠,ヤ,0.20193297,2,11,0.2603759,0.30776381,0.5722257
内山 壮真,ヤ,0.19122359,0,3,0.22025532,0.21695757,0.43676785
武岡 龍世,ヤ,0.17973444,3,9,0.23409449,0.27939552,0.51776767
オースティン,Ｄ,0.31277218,25,72,0.398864,0.5552617,0.9498715
牧 秀悟,Ｄ,0.28332376,21,79,0.35009855,0.4904832,0.83610797
宮﨑 敏郎,Ｄ,0.28150332,13,56,0.37141696,0.44746193,0.8185396
佐野 恵太,Ｄ,0.27367604,8,46,0.32408917,0.38333064,0.70692414
梶原 昂希,Ｄ,0.2860832,4,29,0.3192905,0.3843146,0.70149803
山本 祐大,Ｄ,0.28716397,6,37,0.34033668,0.39423296,0.71971774
桑原 将志,Ｄ,0.26735827,5,19,0.32155073,0.36565214,0.6864095
蝦名 達夫,Ｄ,0.25518864,3,24,0.32734516,0.3478231,0.67544085
度会 隆輝,Ｄ,0.2512014,3,22,0.30682757,0.33035478,0.63702935
森 敬斗,Ｄ,0.2509576,0,16,0.29989895,0.3119396,0.6125914
