選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
吉川 尚輝,巨,0.2819599999999984,5,42,0.32700799999999924,0.35725639727367203,0.6830200000000005
岡本 和真,巨,0.2680040000000005,27,81,0.3481679999999995,0.4805218941636864,0.8296792000000015
丸 佳浩,巨,0.27999600000000086,14,56,0.3626719999999994,0.37461464119423776,0.7318559999999995
ヘルナンデス,巨,0.306496,8,31,0.36281599999999953,0.42631837169640663,0.7833439999999972
モンテス,巨,0.2590000000000003,1,12,0.3199919999999989,0.3458835763692826,0.6688920000000013
オコエ 瑠偉,巨,0.25600000000000017,3,16,0.2999999999999986,0.404317677570146,0.7071159999999976
長野 久義,巨,0.265979999999999,0,8,0.34000800000000203,0.33100840386848757,0.6721629999999995
大城 卓三,巨,0.24698799999999987,3,27,0.32699599999999923,0.38617047491825846,0.7085520000000003
門脇 誠,巨,0.25306400000000007,0,22,0.33099600000000123,0.2623993796337,0.5688959999999992
岸田 行倫,巨,0.23299199999999887,4,23,0.29501200000000133,0.3473226239521366,0.6419439999999983
浅野 翔吾,巨,0.244995999999999,3,15,0.2909079999999993,0.42152356890945314,0.7147104000000005
坂本 勇人,巨,0.24693999999999997,7,36,0.27705200000000063,0.3649168575526339,0.6382676363636385
佐々木 俊輔,巨,0.22901599999999936,0,7,0.2700040000000011,0.2808236000014227,0.5556960000000005
萩尾 匡也,巨,0.2230079999999994,2,10,0.2770280000000006,0.29967753387715773,0.5788559999999987
立岡 宗一郎,巨,0.21685199999999943,0,6,0.3169959999999988,0.21005746697503155,0.4997485714285714
泉口 友汰,巨,0.19787600000000044,1,12,0.27301600000000115,0.29870155672288384,0.5679919999999993
小林 誠司,巨,0.1490000000000002,1,8,0.22609199999999943,0.20260939107686407,0.4263491428571439
山﨑 伊織,巨,0.12924800000000017,0,3,0.15242000000000017,0.1877706230146138,0.3499399999999995
菅野 智之,巨,0.09188399999999985,0,1,0.12800400000000006,0.09905599999999978,0.22951999999999956
戸郷 翔征,巨,0.05028800000000011,0,1,0.07133599999999986,0.050200000000000106,0.1204440000000001
サンタナ,ヤ,0.32433199999999934,17,71,0.38136800000000054,0.5122688713233386,0.9056919999999999
長岡 秀樹,ヤ,0.2960680000000004,6,49,0.3240079999999992,0.36136485728336415,0.6825680000000001
オスナ,ヤ,0.26901199999999914,18,68,0.3299279999999987,0.4159010151832894,0.7481359999999981
村上 宗隆,ヤ,0.24896000000000068,33,87,0.3849240000000012,0.4912431527607155,0.868213099999999
松本 直樹,ヤ,0.27697200000000066,1,10,0.2909119999999993,0.3452018410074253,0.6362679999999991
塩見 泰隆,ヤ,0.26101600000000097,3,8,0.3370080000000018,0.40044845844067406,0.7306879999999977
西川 遥輝,ヤ,0.24903600000000076,1,30,0.3340120000000018,0.371828354882763,0.7046920000000005
宮本 丈,ヤ,0.2569999999999993,0,10,0.3259439999999991,0.27288744029667034,0.5930720000000004
赤羽 由紘,ヤ,0.253128,2,6,0.2750079999999995,0.3599345229208126,0.6332640000000002
丸山 和郁,ヤ,0.24300800000000067,0,17,0.3159880000000013,0.2702974366989325,0.5751240000000002
中村 悠平,ヤ,0.24400399999999983,0,21,0.3079760000000011,0.28495171128082647,0.5951399999999991
青木 宣親,ヤ,0.22699999999999873,0,7,0.2760080000000012,0.2680073137315189,0.543016000000003
岩田 幸宏,ヤ,0.23899999999999905,1,7,0.2839999999999999,0.2380259513446586,0.5191211111111121
山田 哲人,ヤ,0.22204000000000082,14,47,0.29803600000000063,0.43104100277777124,0.7382080000000002
川端 慎吾,ヤ,0.21398399999999917,0,5,0.2660399999999991,0.20932071028868338,0.47233149999999857
増田 珠,ヤ,0.2070000000000006,2,7,0.26101200000000085,0.2815635789436846,0.546416
内山 壮真,ヤ,0.18309199999999978,0,2,0.2259199999999995,0.2143383137901369,0.43385599999999913
武岡 龍世,ヤ,0.16875599999999993,3,10,0.22798400000000055,0.27822406847521053,0.5076880000000001
オースティン,Ｄ,0.3257079999999992,25,68,0.36938399999999993,0.5621526680227241,0.9644702857142872
牧 秀悟,Ｄ,0.3066359999999998,23,75,0.3511319999999993,0.46202203127375296,0.8122881333333338
宮﨑 敏郎,Ｄ,0.2890200000000008,14,55,0.3609159999999999,0.4586447712219879,0.8207831999999998
佐野 恵太,Ｄ,0.27601200000000115,8,55,0.3230039999999989,0.39210582845343717,0.7184949999999979
梶原 昂希,Ｄ,0.3063720000000005,4,25,0.3019760000000007,0.3703872113973196,0.6759199999999984
山本 祐大,Ｄ,0.29884800000000017,5,37,0.33300399999999875,0.4066093401576196,0.7349400000000031
桑原 将志,Ｄ,0.2730040000000011,5,25,0.3280080000000015,0.34804052327540436,0.6769839999999999
蝦名 達夫,Ｄ,0.2539879999999992,3,19,0.3090119999999988,0.34134260545524303,0.6548400000000004
度会 隆輝,Ｄ,0.2649840000000005,3,21,0.30198400000000064,0.3386327590989252,0.6447880000000012
森 敬斗,Ｄ,0.2549840000000011,0,13,0.2999999999999986,0.34106539173659883,0.6399959999999985
大和,Ｄ,0.24000800000000055,0,5,0.2850279999999984,0.2813246875762442,0.5653360000000002
京田 陽太,Ｄ,0.24611200000000039,1,17,0.2710000000000005,0.3005886613673104,0.5698679999999975
戸柱 恭孝,Ｄ,0.2340000000000013,0,5,0.29606000000000027,0.2597520131404914,0.5556720000000008
関根 大気,Ｄ,0.2209959999999986,0,7,0.2990880000000002,0.2420075768651858,0.5400760000000021
伊藤 光,Ｄ,0.20000800000000069,1,7,0.2629479999999997,0.2791657886984459,0.5471279999999994
筒香 嘉智,Ｄ,0.1919960000000001,7,21,0.2879399999999985,0.40668344197784545,0.6950959999999962
石上 泰輝,Ｄ,0.1779719999999998,0,4,0.2489200000000002,0.2482490989268678,0.4993124210526309
林 琢真,Ｄ,0.16907999999999984,0,6,0.22226000000000068,0.24546469674476432,0.47350399999999976
東 克樹,Ｄ,0.098624,0,2,0.16944400000000043,0.10387907692307682,0.26618800000000015
ジャクソン,Ｄ,0.09793999999999997,0,2,0.13764000000000026,0.10307599999999986,0.2449680000000001
細川 成也,中,0.2791160000000012,22,75,0.3760480000000006,0.47981641874913816,0.8554862722222236
岡林 勇希,中,0.26599599999999896,0,22,0.3160040000000013,0.29796763424254596,0.6102040000000003
福永 裕基,中,0.2909759999999986,6,35,0.3729280000000006,0.4133082328583057,0.777483999999999
宇佐見 真吾,中,0.3097480000000001,3,16,0.3450239999999991,0.43311038856407513,0.7799840000000006
村松 開人,中,0.2730040000000011,1,26,0.33099200000000134,0.33288409051587387,0.6589919999999995
石川 昂弥,中,0.27700000000000063,4,28,0.3050040000000009,0.41681754115926156,0.7288760000000031
川越 誠司,中,0.26499600000000045,2,7,0.3090039999999988,0.3735677741467894,0.6825199999999996
カリステ,中,0.25094799999999917,7,36,0.29596000000000044,0.3170812280246112,0.6080360000000012
高橋 周平,中,0.2600119999999994,2,15,0.30800400000000105,0.339479020073935,0.649996000000003
山本 泰寛,中,0.24400399999999983,1,11,0.3090119999999988,0.3185187987163962,0.6285382857142843
ブライト 健太,中,0.2470159999999999,2,7,0.3239999999999991,0.3759671869906841,0.7017119999999983
板山 祐太郎,中,0.24300800000000067,3,17,0.30301599999999906,0.3099972714178827,0.6139360000000018
木下 拓哉,中,0.21799600000000144,3,15,0.25195600000000057,0.2863293156842021,0.5381999999999995
田中 幹也,中,0.22902399999999937,2,24,0.28002400000000083,0.2808547696847862,0.5601840000000017
三好 大倫,中,0.208988000000001,0,6,0.2599919999999995,0.2519797015797504,0.5144231999999999
中田 翔,中,0.22303599999999937,4,18,0.24173199999999948,0.34662818556767344,0.5960800000000007
ディカーソン,中,0.20601200000000097,3,8,0.30701200000000095,0.3590470669490531,0.6717040000000005
大島 洋平,中,0.18798800000000046,0,6,0.25901200000000024,0.23377995750582845,0.486356000000001
上林 誠知,中,0.19712400000000055,1,6,0.2550040000000011,0.23710683814071998,0.486224000000001
加藤 匠馬,中,0.17892000000000005,0,7,0.1746639999999997,0.23570444088730327,0.4279609230769239
