選手名,球 団,打 率,本 塁 打,打 点,出 塁 率,長 打 率,O P S
吉川 尚輝,巨,0.28720117,6,44,0.33334786,0.3757425,0.711851
岡本 和真,巨,0.28526208,25,79,0.3498894,0.47320974,0.82992846
丸 佳浩,巨,0.29119298,13,59,0.34821987,0.4301131,0.77620214
ヘルナンデス,巨,0.2924173,7,34,0.33070296,0.4480753,0.77371097
モンテス,巨,0.2623416,2,16,0.32028624,0.36743677,0.68407357
オコエ 瑠偉,巨,0.25687516,3,16,0.3037857,0.39117545,0.69363934
長野 久義,巨,0.25823364,0,10,0.3330625,0.29625317,0.6286057
大城 卓三,巨,0.24609491,4,24,0.31710598,0.345124,0.6614213
門脇 誠,巨,0.25360915,0,23,0.3059479,0.30691415,0.6110782
岸田 行倫,巨,0.24795583,5,21,0.2839525,0.34971228,0.6296022
浅野 翔吾,巨,0.24175985,3,14,0.28857645,0.3837543,0.67108554
坂本 勇人,巨,0.24310799,5,36,0.29002926,0.31614593,0.60760945
佐々木 俊輔,巨,0.23834231,0,8,0.28818685,0.27516782,0.5642045
萩尾 匡也,巨,0.21635391,3,17,0.2723591,0.33512557,0.606378
立岡 宗一郎,巨,0.21034254,0,4,0.28705576,0.23921885,0.5384184
泉口 友汰,巨,0.20187823,0,7,0.28853905,0.25275686,0.5458219
小林 誠司,巨,0.15449773,0,6,0.22282302,0.19845445,0.4253831
山﨑 伊織,巨,0.13889007,0,3,0.15080857,0.16604407,0.31723276
菅野 智之,巨,0.07246316,0,1,0.12169678,0.09476038,0.21957183
戸郷 翔征,巨,0.05091625,0,2,0.07377225,0.050193936,0.12424362
サンタナ,ヤ,0.31817448,18,70,0.41754785,0.5295958,0.95040596
長岡 秀樹,ヤ,0.289286,6,39,0.33243895,0.37552917,0.7121794
オスナ,ヤ,0.25918382,16,59,0.31345686,0.41441303,0.725976
村上 宗隆,ヤ,0.2511679,30,83,0.3588839,0.4801994,0.8322659
松本 直樹,ヤ,0.26790455,1,12,0.29853985,0.34408966,0.63705593
塩見 泰隆,ヤ,0.25885996,3,10,0.34032398,0.39058593,0.73337334
西川 遥輝,ヤ,0.2726863,2,29,0.34444693,0.35284963,0.69815016
宮本 丈,ヤ,0.25035286,0,13,0.3206609,0.30231416,0.6214829
赤羽 由紘,ヤ,0.22883186,2,6,0.25891,0.38015482,0.6483589
丸山 和郁,ヤ,0.2391972,0,17,0.3069591,0.2745518,0.58446205
中村 悠平,ヤ,0.23519976,1,19,0.2999834,0.29835397,0.5962025
青木 宣親,ヤ,0.23192541,0,5,0.29363966,0.2709753,0.565269
岩田 幸宏,ヤ,0.22882397,0,5,0.27724195,0.27542213,0.5543273
山田 哲人,ヤ,0.23168245,15,45,0.3005394,0.41548848,0.71826285
川端 慎吾,ヤ,0.22185856,0,5,0.2608889,0.24218388,0.5020237
